,City,Lat,Lng,MaxTemp,Humidity,Cloudiness,WindSpeed,Country,Date
0,albany,42.6001,-73.9662,19,49,18,1.01,US,1612761735
1,port elizabeth,-33.918,25.5701,66.2,77,0,17.27,ZA,1612762002
2,severo-kurilsk,50.6789,156.125,25.3,93,91,20.54,RU,1612761737
3,puerto ayora,-0.7393,-90.3518,77,95,100,5.68,EC,1612762005
4,hirado,33.3597,129.5531,51.8,35,40,20.71,JP,1612761738
5,jeremie,18.65,-74.1167,75.83,76,17,6.15,HT,1612761738
6,kaeo,-35.1,173.7833,71.01,72,80,5.01,NZ,1612761738
7,rio grande,-32.035,-52.0986,64.99,93,22,10.67,BR,1612762010
8,hermanus,-34.4187,19.2345,60.01,92,39,5.79,ZA,1612762011
9,lovozero,68.005,35.0117,14.85,95,100,15.99,RU,1612761739
10,qaanaaq,77.484,-69.3632,17.28,85,100,5.79,GL,1612761740
11,saskylakh,71.9167,114.0833,-34.98,81,40,10.25,RU,1612762019
12,torbay,47.6666,-52.7314,30,80,90,18.41,CA,1612762020
